split,difficulty,method,number_of_trials,waypoint0_success_coarse_rate,waypoint0_success_standard_rate,waypoint0_success_strict_rate,waypoint0_stagnation_rate,waypoint0_max_iterations_rate,median_position_error_m,p95_position_error_m,median_orientation_error_deg,p95_orientation_error_deg,initial_sigma_min,final_sigma_min_median,initial_joint_limit_margin,final_joint_limit_margin_median,percentage_initial_margin_zero,percentage_final_margin_zero,median_dls_iterations,mean_maximum_failure_streak_when_wp0_success,mean_maximum_failure_streak_when_wp0_fail,mean_coverage_ratio_when_wp0_success,mean_coverage_ratio_when_wp0_fail,source_reference
development,easy,cold_start,70,0.4714285714285714,0.4428571428571428,0.4285714285714285,0.5428571428571428,0.0285714285714285,0.0140853121596824,0.8130865662929901,4.3090395349111335,135.66523110235565,not_available,0.1202444529859489,not_available,0.0,not_available,0.5285714285714286,20.0,37.54838709677419,330.1794871794872,1.757441228244186,6.300381969389046,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
development,easy,warm_start,70,0.4714285714285714,0.4428571428571428,0.4285714285714285,0.5428571428571428,0.0285714285714285,0.0140853121596824,0.8130865662929901,4.3090395349111335,135.66523110235565,not_available,0.1202444529859489,not_available,0.0,not_available,0.5285714285714286,20.0,7.161290322580645,232.6153846153846,0.9987843720894932,14.933611253072783,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
development,hard,cold_start,70,0.3571428571428571,0.3428571428571428,0.3428571428571428,0.6571428571428571,0.0,0.1515375514161419,1.159128577891012,16.56511230224843,160.748713385584,not_available,0.08990896278786,not_available,0.0,not_available,0.5857142857142857,32.0,45.66666666666666,295.4130434782609,6.998683474563123,20.73766827547618,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
development,hard,warm_start,70,0.3571428571428571,0.3428571428571428,0.3428571428571428,0.6571428571428571,0.0,0.1515375514161419,1.159128577891012,16.56511230224843,160.748713385584,not_available,0.08990896278786,not_available,0.0,not_available,0.5857142857142857,32.0,9.583333333333334,258.9130434782609,1.001518123636717,6.770758587395472,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
development,medium,cold_start,70,0.3428571428571428,0.3285714285714285,0.3142857142857143,0.6714285714285714,0.0142857142857142,0.2304449835796681,0.8844046502452149,26.872909987449997,155.15365443030257,not_available,0.1346726913506014,not_available,0.0,not_available,0.7428571428571429,28.5,82.6086956521739,351.9574468085106,4.454651032872398,3.5731967845477866,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
development,medium,warm_start,70,0.3428571428571428,0.3285714285714285,0.3142857142857143,0.6714285714285714,0.0142857142857142,0.2304449835796681,0.8844046502452149,26.872909987449997,155.15365443030257,not_available,0.1346726913506014,not_available,0.0,not_available,0.7428571428571429,28.5,32.82608695652174,299.6808510638298,1.0804210285766105,4.797589903517943,mpdik_kassow_v2_eval_devval/development/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,easy,cold_start,70,0.4285714285714285,0.4285714285714285,0.4142857142857143,0.5571428571428572,0.0285714285714285,0.0623104011754377,0.820760145203274,11.706743412513257,156.24459636532393,not_available,0.1102906248693867,not_available,0.0269916214924722,not_available,0.4142857142857143,17.5,55.86666666666667,292.225,3.0369571399476074,7.486805999597673,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,easy,warm_start,70,0.4285714285714285,0.4285714285714285,0.4142857142857143,0.5571428571428572,0.0285714285714285,0.0623104011754377,0.820760145203274,11.706743412513257,156.24459636532393,not_available,0.1102906248693867,not_available,0.0269916214924722,not_available,0.4142857142857143,17.5,24.666666666666668,145.25,1.0408179499797223,3.017650853147031,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,hard,cold_start,70,0.3714285714285714,0.3571428571428571,0.3571428571428571,0.6142857142857143,0.0285714285714285,0.2525991204388556,1.3926329747534822,46.529771182980426,145.21121426768664,not_available,0.1174558822127793,not_available,0.0,not_available,0.5571428571428572,30.5,48.64,309.0444444444444,3.1663308197067157,8.816216886942708,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,hard,warm_start,70,0.3714285714285714,0.3571428571428571,0.3571428571428571,0.6142857142857143,0.0285714285714285,0.2525991204388556,1.3926329747534822,46.529771182980426,145.21121426768664,not_available,0.1174558822127793,not_available,0.0,not_available,0.5571428571428572,30.5,19.36,201.7111111111111,0.9979482175486843,7.798066072971681,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,medium,cold_start,70,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,0.0572768799818124,0.8407414976557523,20.3496454344804,144.40717629642754,not_available,0.0952751136503479,not_available,0.0,not_available,0.5285714285714286,23.5,77.23333333333333,309.4,4.94681363124652,10.926530963529292,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
validation,medium,warm_start,70,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,0.0572768799818124,0.8407414976557523,20.3496454344804,144.40717629642754,not_available,0.0952751136503479,not_available,0.0,not_available,0.5285714285714286,23.5,37.86666666666667,197.15,1.000575649336268,6.122331221227286,mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/waypoint_results.csv (waypoint_id=0)
